provider,model,task_id,task_type,latency_ms,error,retrieved_ids,source_hit_rate,expected_term_coverage,grounded_overlap,linguistic_quality_1_5,context_respect_1_5,invented_data_1_5,recommendation_usefulness_1_5,answer_chars,answer
local,gemma3:1b,q_001,question,11359.69,,kb_003|kb_009|kb_001,1.0,,0.5,2.99,3.5,5.0,4.12,236,"Si la sessió té molta intensitat, és possible que s'utilitzin aproximacions tècniques per a accions que requereixen un moviment o un ritme intens. Recomanem alternar aquests blocs amb recuperacions suficients per evitar canvis de ritme."
local,gemma3:1b,q_002,question,8662.99,,kb_006|kb_004|kb_005,1.0,,0.6666666666666666,2.43,4.0,5.0,2.32,235,"El model pot confondre seure i dret perquè la matriu de confusió mostra que les classes ""seure i dret"" són les més similars. Aquesta confusió és esperable perquè totes dues són posturals i tenen patrons d'acceleració amb poca variació."
local,gemma3:1b,q_003,question,10028.15,,kb_007|kb_004|kb_010,1.0,,0.8846153846153846,2.43,4.65,5.0,2.32,194,"El model final s'ha seleccionat com `cnn_deep` i ha obtitjà 96,01 per cent d'accuracy, 96,02 per cent de F1 weighted, ocupa 55.208 bytes en format TFLite i té una inferència mitjana de 0,078 ms."
local,gemma3:1b,q_004,question,8327.12,,kb_008|kb_005|kb_010,1.0,,0.5833333333333334,2.95,3.75,5.0,4.12,238,"UCI HAR no té etiquetes específiques de futbol com sprint, canvi de direcció, pressio o conducció de pilota.

Recomanació d'acció: Considera que la interpretació del model és una aproximació i no un classificador de rendiment futbolistic."
local,gemma3:1b,q_005,question,6611.64,,kb_004|kb_005|kb_012,1.0,,0.6666666666666666,2.53,4.0,5.0,4.12,121,"Si la confiança mitjana del model és baixa, és recomanable interpretar la predicció com a una finestra curta de moviment."
local,gemma3:1b,q_006,question,5876.07,,kb_011|kb_010|kb_001,1.0,,1.0,1.49,5.0,5.0,2.32,45,A ml/rag/data/knowledge_base.jsonl es guarda.
local,gemma3:1b,s_001,session,8209.08,,kb_012|kb_003|kb_009,,0.6666666666666666,0.3684210526315789,2.99,3.11,5.0,4.21,189,Considera que la sessió està marcada per alta intensitat i és recomanable alternar els blocs per evitar canvis de ritme. Incorpora recuperacions per a un millor recuperació física i mental.
local,gemma3:1b,s_002,session,6312.53,,kb_012|kb_001|kb_003,,0.6666666666666666,0.3333333333333333,3.09,3.0,5.0,4.21,143,S'ha observat repos en la sessió. Recomanem augmentar la intensitat de les activitats i incorporar recuperacions per evitar la sobreexplotació.
local,gemma3:1b,s_003,session,6456.27,,kb_002|kb_012|kb_003,,0.0,0.14285714285714285,2.01,2.43,4.2,3.28,76,Recomanen consultar un exercici de recuperació per evitar augment de fatiga.
local,gemma3:1b,s_004,session,8386.13,,kb_012|kb_003|kb_009,,0.0,0.17647058823529413,2.95,2.53,4.2,3.28,187,"Considera que la sessió ha estat intensament activa i que hi ha un risc d'alteracions en el ritme. Recomanem una recuperació, hidratació i anàlisi de la carregada per evitar sobrecàrrega."
