model,task_id,task_type,latency_ms,error,retrieved_ids,answer,catalan_quality_1_5,respects_rag_context_1_5,invented_data_1_5,recommendation_usefulness_1_5,manual_notes
qwen3-coder-next,q_001,question,3579.51,,kb_003|kb_009|kb_001,"Indica que la sessió inclou molts canvis de ritme, acceleracions o moviments exigents, com pujar o baixar escales. Es recomana alternar aquests blocs amb recuperacions suficients i, si és la segona sessió intensa seguida, la propera pot prioritzar tecnica, mobilitat o treball aerobi suau.",,,,,
qwen3-coder-next,q_002,question,2151.68,,kb_006|kb_004|kb_005,"Perquè totes dues són postures estàtiques amb patrons d’acceleració molt similars i poca variació, i el model no ha estat entrenat específicament amb dades de futbol. Recomanació: agrupar-les com a “baixa intensitat o repos” en l’anàlisi.",,,,,
qwen3-coder-next,q_003,question,1183.77,,kb_007|kb_004|kb_010,"S’ha seleccionat el model **cnn_deep**, amb una accuracy del **96,01 %** i una F1 weighted del **96,02 %**.",,,,,
qwen3-coder-next,q_004,question,10481.44,,kb_008|kb_005|kb_010,"UCI HAR no inclou etiquetes específiques de futbol com sprint, canvi de direcció, pressió o conducció de pilota, per tant el model de SmarTrain no pot classificar aquestes activitats amb precisió. La seva integració és tècnica, però no s’ha de presentar com un classificador final de rendiment futbolístic. Recomanació: utilitzar dades específiques de futbol per entrenar models orientats a aquesta modalitat.",,,,,
qwen3-coder-next,q_005,question,1803.63,,kb_004|kb_005|kb_012,"Una confiança baixa del model indica que la prediccó ha de ser interpretada amb prudència, possiblement degut a soroll del sensor, una mala posició del mòbil, activitats no representades al dataset o transicions entre moviments. L’app ha de mostrar el resultat com orientatiu. Recomanació: revisa la col·locació del dispositiu i, si persisteix, considera afegir dades d’entrenament específiques de l’activitat.",,,,,
qwen3-coder-next,q_006,question,783.4,,kb_011|kb_010|kb_001,La base documental del RAG es guarda a `ml/rag/data/knowledge_base.jsonl`.,,,,,
qwen3-coder-next,s_001,session,1379.83,,kb_012|kb_003|kb_009,"La sessió ha tingut una alta intensitat dominant (12 de 24 blocs) amb una bona confiança (82%). Com a recomanació, inclou recuperació activa, hidratació i, a la propera sessió, prioritza tecnica, mobilitat o treball aerobi suau per equilibrar la carrega.",,,,,
qwen3-coder-next,s_002,session,9240.08,,kb_012|kb_001|kb_003,"Sembla una sessió de recuperació o tornada a la calma, amb poca activitat d’alta intensitat. Si l’objectiu era entrenament intens, augmenta progressivament blocs de carrera suau i exercicis tècnics amb pilota, alternant-los amb recuperacions adequades.",,,,,
qwen3-coder-next,s_003,session,1369.99,,kb_002|kb_012|kb_003,"La sessió mostra una activitat dominant de desplacament suau amb una bona confiança (88%) i només 2 blocs d’alta intensitat. Per progressar, recomanem afegir intervals curts de carrera moderada, controlant que la fatiga no augmenti massa.",,,,,
qwen3-coder-next,s_004,session,1516.62,,kb_012|kb_003|kb_009,"La sessió ha tingut una alta intensitat dominant (7/16 blocs), amb una confiança mitjana del 48%. Recomanació: inclou una recuperació activa, hidratació adequada i, a la propera sessió, prioritza tècnica, mobilitat o treball aerobi suau per compensar la carrega.",,,,,
